Sentiments,Classified Sentiment
Positive,Positive
Negative,Negative
Neutral,Neutral
Anger,Negative
Fear,Negative
Sadness,Negative
Disgust,Negative
Happiness,Positive
Joy,Positive
Love,Positive
Amusement,Negative
Enjoyment,Negative
Admiration,Negative
Affection,Negative
Awe,Negative
Disappointed,Negative
Surprise,Negative
Acceptance,Negative
Adoration,Negative
Anticipation,Negative
Bitter,Negative
Calmness,Negative
Confusion,Negative
Excitement,Negative
Kind,Positive
Pride,Negative
Shame,Negative
Elation,Negative
Euphoria,Negative
Contentment,Negative
Serenity,Negative
Gratitude,Negative
Hope,Negative
Empowerment,Negative
Compassion,Negative
Tenderness,Negative
Arousal,Negative
Enthusiasm,Negative
Fulfillment,Negative
Reverence,Negative
Despair,Negative
Grief,Negative
Loneliness,Negative
Jealousy,Negative
Resentment,Negative
Frustration,Negative
Boredom,Negative
Anxiety,Negative
Intimidation,Negative
Helplessness,Negative
Envy,Negative
Regret,Negative
Curiosity,Negative
Indifference,Negative
Numbness,Negative
Melancholy,Negative
Nostalgia,Negative
Ambivalence,Negative
Determination,Negative
Zest,Negative
Hopeful,Negative
Proud,Positive
Grateful,Negative
Empathetic,Negative
Compassionate,Negative
Playful,Negative
Free-spirited,Negative
Inspired,Negative
Confident,Positive
Bitterness,Negative
Yearning,Negative
Fearful,Negative
Apprehensive,Negative
Overwhelmed,Negative
Jealous,Negative
Devastated,Negative
Frustrated,Negative
Envious,Negative
Dismissive,Negative
Thrill,Negative
Bittersweet,Negative
Overjoyed,Negative
Inspiration,Negative
Motivation,Negative
Contemplation,Negative
JoyfulReunion,Negative
Satisfaction,Negative
Blessed,Negative
Reflection,Negative
Appreciation,Negative
Confidence,Negative
Accomplishment,Negative
Wonderment,Negative
Optimism,Negative
Enchantment,Negative
Intrigue,Negative
PlayfulJoy,Negative
Mindfulness,Negative
DreamChaser,Negative
Elegance,Negative
Whimsy,Negative
Pensive,Negative
Harmony,Negative
Creativity,Negative
Radiance,Negative
Wonder,Negative
Rejuvenation,Negative
Coziness,Negative
Adventure,Negative
Melodic,Negative
FestiveJoy,Negative
InnerJourney,Negative
Freedom,Negative
Dazzle,Negative
Adrenaline,Negative
ArtisticBurst,Negative
CulinaryOdyssey,Negative
Resilience,Negative
Immersion,Negative
Spark,Negative
Marvel,Negative
Heartbreak,Negative
Betrayal,Negative
Suffering,Negative
EmotionalStorm,Negative
Isolation,Negative
Disappointment,Negative
LostLove,Negative
Exhaustion,Negative
Sorrow,Negative
Darkness,Negative
Desperation,Negative
Ruins,Negative
Desolation,Negative
Loss,Negative
Heartache,Negative
Solitude,Negative
Positivity,Negative
Kindness,Negative
Friendship,Negative
Success,Positive
Exploration,Negative
Amazement,Negative
Romance,Negative
Captivation,Negative
Tranquility,Negative
Grandeur,Negative
Emotion,Negative
Energy,Negative
Celebration,Negative
Charm,Negative
Ecstasy,Negative
Colorful,Positive
Hypnotic,Negative
Connection,Negative
Iconic,Positive
Journey,Negative
Engagement,Negative
Touched,Negative
Suspense,Negative
Triumph,Negative
Heartwarming,Negative
Obstacle,Negative
Sympathy,Negative
Pressure,Negative
Renewed Effort,Negative
Miscalculation,Negative
Challenge,Negative
Solace,Negative
Breakthrough,Negative
Joy in Baking,Positive
Envisioning History,Negative
Imagination,Negative
Vibrancy,Negative
Mesmerizing,Positive
Culinary Adventure,Negative
Winter Magic,Positive
Thrilling Journey,Positive
Nature's Beauty,Negative
Celestial Wonder,Negative
Creative Inspiration,Positive
Runway Creativity,Negative
Ocean's Freedom,Negative
Whispers of the Past,Negative
Relief,Negative
Embarrassed,Negative
Mischievous,Negative
Sad,Negative
Hate,Negative
Bad,Negative
Happy,Positive
